id_cliente,num_reclamacoes_12m,num_sinistros_historico,dias_ultimo_contato,canal_preferencial_contato,tempo_medio_resposta_dias,num_ligacoes_suporte_12m,tempo_resolucao_ultimo_sinistro,num_acessos_app_mes,satisfacao_nps,teve_sinistro,dias_desde_ultimo_sinistro
221301202771,0,0,135,email,1,3,0,0,9,0,-1
221300751082,0,0,168,whatsapp,2,1,0,20,9,0,-1
221303015310,0,2,59,telefone,2,1,2,18,8,1,549
221300916354,0,1,7,email,0,2,19,14,9,1,177
221302928367,1,2,93,whatsapp,1,1,116,13,1,1,749
221300365354,0,1,35,telefone,5,1,15,14,8,1,353
221302016894,1,0,47,whatsapp,1,3,0,17,5,0,-1
221300698360,0,1,135,email,5,3,60,9,7,1,358
221302362355,2,0,124,email,1,3,0,3,2,0,-1
221301224724,1,0,104,whatsapp,6,2,0,7,10,0,-1
221301788297,0,0,168,whatsapp,1,0,0,5,4,0,-1
221300538071,0,1,29,whatsapp,4,1,8,6,6,1,316
221303260586,0,0,97,whatsapp,3,5,0,17,8,0,-1
221301927569,1,0,9,email,1,2,0,3,7,0,-1
221303018985,1,1,52,telefone,3,5,32,14,6,1,416
221301269368,2,1,30,carta,1,0,70,2,4,1,840
221301275441,0,2,6,whatsapp,0,4,4,7,3,1,465
221301074934,2,0,12,whatsapp,3,1,0,9,3,0,-1
221303119925,1,1,14,telefone,3,1,1,10,5,1,719
221301390984,5,0,44,email,1,2,0,11,2,0,-1
221300126619,1,0,51,whatsapp,1,2,0,0,5,0,-1
221302976808,1,1,12,email,5,2,4,17,4,1,166
221300577250,2,0,135,email,5,2,0,8,5,0,-1
221300963905,3,0,91,whatsapp,1,1,0,12,8,0,-1
221303001225,1,0,21,carta,3,5,0,10,7,0,-1
221301035262,1,0,45,email,11,4,0,16,9,0,-1
221302093002,0,4,7,whatsapp,4,1,5,6,7,1,813
221301978565,1,1,93,email,1,2,0,15,6,0,-1
221300086442,0,2,155,whatsapp,1,0,4,17,7,1,901
221301729687,0,0,34,telefone,1,0,0,7,6,0,-1
221302679119,0,0,157,whatsapp,1,2,52,9,5,1,194
221303268535,0,0,1,email,7,3,0,4,3,0,-1
221301997948,0,0,8,email,0,0,0,11,6,0,-1
221301179054,0,1,127,whatsapp,9,0,45,12,10,1,172
221301033289,1,0,69,carta,1,2,0,4,8,0,-1
221300978131,0,0,34,whatsapp,1,1,0,13,10,0,-1
221301427585,4,0,14,telefone,2,0,0,9,6,0,-1
221300130837,2,2,121,whatsapp,0,2,7,16,8,1,412
221303104382,0,0,60,telefone,5,5,0,15,7,0,-1
221301924524,0,0,40,email,4,1,0,12,3,0,-1
221301835710,1,0,26,email,1,1,0,11,9,0,-1
221301841918,0,0,25,telefone,1,2,21,7,7,1,699
221301870296,2,0,18,email,5,4,0,10,8,0,-1
221300402550,2,1,13,whatsapp,7,1,1,6,6,1,541
221302594957,3,1,137,email,0,4,6,8,4,1,501
221302252482,3,1,98,whatsapp,2,6,32,12,7,1,782
221300863679,1,0,86,whatsapp,2,1,0,9,5,0,-1
221302613491,0,1,46,whatsapp,5,4,33,15,9,1,314
221301338715,0,0,38,email,8,1,0,20,7,0,-1
221302191031,2,0,45,email,3,2,0,12,6,0,-1
221302578746,2,0,6,email,1,2,0,17,5,0,-1
221300461796,0,0,23,email,4,4,0,9,7,0,-1
221302289670,2,1,31,telefone,0,3,10,1,2,1,84
221303120302,0,3,56,telefone,2,3,45,14,7,1,280
221303083901,1,1,41,email,0,3,48,9,6,1,907
221302344914,2,1,8,telefone,0,3,93,4,5,1,833
221302640464,1,1,168,email,2,1,51,19,10,1,66
221303138542,1,1,84,whatsapp,4,1,8,7,7,1,108
221300537711,1,0,16,email,0,2,0,6,2,0,-1
221301813812,1,0,124,email,9,3,0,10,9,0,-1
221300730127,2,1,4,carta,0,0,24,14,5,1,92
221303095900,1,0,168,whatsapp,7,1,0,7,4,0,-1
221301526607,1,0,51,telefone,1,4,0,6,10,0,-1
221302242174,0,0,38,whatsapp,0,3,0,11,4,0,-1
221300386449,0,2,147,email,1,0,21,8,8,1,809
221302943583,0,1,49,whatsapp,5,0,5,18,8,1,717
221300071910,3,0,19,email,3,4,0,9,5,0,-1
221301745441,1,0,47,whatsapp,4,1,0,14,5,0,-1
221302087747,1,0,106,whatsapp,1,5,0,10,8,0,-1
221302290652,1,0,26,whatsapp,1,3,0,5,8,0,-1
221302045792,0,0,17,email,0,3,0,3,1,0,-1
221300285182,1,0,97,whatsapp,5,1,9,12,6,1,85
221300202871,1,2,71,whatsapp,7,2,9,6,6,1,413
221303281875,1,1,37,whatsapp,0,1,11,11,9,1,728
221301145167,2,0,10,email,1,3,0,4,7,0,-1
221302507240,0,2,16,whatsapp,1,3,19,6,8,1,196
221301793346,2,0,70,email,3,1,0,17,6,0,-1
221301036942,1,0,31,email,1,2,0,6,5,0,-1
221302453841,1,2,141,whatsapp,1,2,26,17,5,1,135
221301193873,2,3,4,whatsapp,1,2,77,1,6,1,306
221300122700,1,0,38,telefone,0,2,0,7,9,0,-1
221300845881,0,4,26,telefone,0,2,7,9,5,1,53
221301404717,1,1,29,whatsapp,1,3,1,0,7,1,818
221301821054,0,0,5,whatsapp,1,3,0,12,8,0,-1
221303117414,3,0,10,carta,1,3,0,6,5,0,-1
221303056781,0,0,35,email,0,1,0,15,3,0,-1
221303037506,2,0,86,telefone,5,1,0,14,1,0,-1
221300658411,1,1,11,email,0,2,8,1,6,1,884
221301810523,5,3,107,telefone,0,3,31,4,6,1,845
